Top_RGB_R,Top_RGB_G,Top_RGB_B,Bot_RGB_R,Bot_RGB_G,Bot_RGB_B,Top_YUV_Y,Top_YUV_U,Top_YUV_V,Bot_YUV_Y,Bot_YUV_U,Bot_YUV_V,Top_HSV_H,Top_HSV_S,Top_HSV_V,Bot_HSV_H,Bot_HSV_S,Bot_HSV_V,Top_LAB_L,Top_LAB_A,Top_LAB_B,Bot_LAB_L,Bot_LAB_A,Bot_LAB_B,Top_hls_H,Top_hls_L,Top_hls_S,Bot_hls_H,Bot_hls_L,Bot_hls_S,Thickness
12.782,31.4908,43.798,29.9544,35.6312,40.9688,27.254,136.142,115.4788,34.5608,130.7424,123.7232,101.7788,181.4076,43.7996,104.2976,68.3316,40.9688,28.2424,125.1804,117.4632,34.9848,126.9956,123.7272,101.7844,28.4176,141.8076,104.2832,35.5104,39.8368,111.5333333
1.3364,15.7688,34.0468,29.048,33.756,39.74,13.5472,137.7928,117.328,33.08,130.858,124.1536,106.796,245.5428,34.0468,106.8192,68.6836,39.74,11.2952,128.6424,114.442,32.8984,127.6256,123.2712,106.8172,17.7024,237.612,106.8172,34.4456,39.9496,77.8
1.3596,19.1972,39.4032,24.5464,35.2168,43.8456,16.1696,139.2048,115.1692,32.8744,133.1408,120.7268,105.884,246.4588,39.4032,103.316,112.27,43.8456,14.552,129.386,112.2184,33.7196,126.1752,120.8516,105.7836,20.406,239.1192,103.316,34.2632,72.636,80.3
1.1728,14.6336,29.0144,22.9144,32.7368,39.1644,12.1608,136.3032,118.086,30.4568,131.8736,121.392,105.3428,245.2188,29.0144,101.96,105.9288,39.1644,9.9056,127.9688,117.5548,30.5184,125.7836,122.3188,105.3428,15.3272,236.6204,101.96,31.2416,67.3988,75.9
0.9384,16.5468,31.0332,29.424,34.16,37.7568,13.562,136.5788,117.044,33.1936,129.9984,124.3968,104.4416,247.7732,31.0332,103.3248,56.9048,37.7648,11.1636,127.4216,116.8304,33.1744,126.908,124.9652,104.436,16.158,241.486,103.3248,33.6648,32.1504,77.73333333
11.1108,34.1052,43.6012,32.5408,38.112,40.664,28.3284,135.5836,112.874,36.7808,129.792,124.0224,98.7556,190.9608,43.6012,98.6672,50.8432,40.7096,30.588,122.752,119.0016,37.7656,126.0724,125.6136,98.7996,27.4464,154.466,98.6672,36.6484,28.618,100.0666667
8.3212,27.4956,42.2456,30.3872,35.088,41.8704,23.502,137.0556,114.8136,34.5568,131.1584,124.0496,103.0568,205.7884,42.2456,107.8112,70.008,41.8704,23.6376,126.1036,115.7392,34.7288,127.724,122.8532,103.058,25.3548,174.7592,107.8112,36.1652,40.8048,93.93333333
7.5512,27.572,41.8904,27.678,33.492,43.3312,23.2924,136.9336,114.2516,32.9068,132.816,123.3248,102.6944,210.0956,41.8904,108.95,92.166,43.3312,23.5676,125.6188,115.9536,32.6656,128.4008,120.4972,102.6944,24.7692,180.3384,108.9088,35.5996,56.554,96.16666667
7.2892,26.3648,40.5088,22.694,32.3628,42.8564,22.336,136.8024,114.9452,30.6244,133.9336,121.0764,102.858,209.868,40.5088,105.4712,119.9856,42.8564,22.1128,125.8148,116.0864,30.5132,127.1972,119.568,102.858,23.9424,179.752,105.4696,32.8636,78.9864,95.9
24.0924,32.7704,22.808,29.1896,34.428,43.7184,29.062,125.2504,123.5112,34.0456,132.5236,123.648,55.9556,80.8104,32.7704,109.0224,84.2772,43.7184,29.3896,121.3916,133.4436,33.9956,128.346,121.0116,55.954,27.9264,48.9752,108.9528,36.482,50.868,124.4333333
29.9664,32.3504,29.6848,31.5568,34.5616,38.8192,31.2224,127.232,126.744,34.2368,129.9792,125.32,57.9472,24.1904,32.3536,107.296,47.816,38.8448,30.7604,126.418,129.548,34.2144,127.7412,124.7392,57.9472,31.0716,12.6772,107.2688,35.2248,26.4552,117.7
22.574,29.3876,26.6672,28.6364,32.6204,35.7852,27.086,127.8004,123.84,31.7708,129.8624,124.8752,76.1812,59.9144,29.426,103.1568,51.2268,35.798,26.0176,124.264,128.922,31.2988,127.2064,125.2616,76.1196,26.164,34.5668,103.144,32.3792,28.4856,115.4666667
23.7772,32.4716,25.6572,24.822,34.7424,46.4296,29.1324,126.3696,123.0992,33.0644,134.5768,120.8092,65.928,68.8728,32.4716,106.2372,118.934,46.4296,29.1856,122.2556,131.2852,33.6316,127.5488,118.814,65.928,28.324,40.8536,106.2372,35.7776,78.0476,120.0666667
30.558,29.422,5.3312,26.238,33.1812,43.4556,27.0152,117.498,131.3248,32.318,133.3456,122.6968,28.9536,211.8584,31.04,107.9016,100.6792,43.4556,26.8492,124.418,141.2776,32.1096,128.1584,120.094,28.9224,18.254,187.0248,107.8576,34.9392,63.23,153.3
27.9196,27.846,1.5476,26.2356,35.1156,42.2936,24.8568,116.7428,130.9956,33.338,132.0672,121.8192,29.9916,242.1376,28.4428,103.4656,96.6052,42.2936,24.3436,123.5624,141.33,33.8356,126.3768,121.9944,29.9612,15.1212,231.9068,103.454,34.372,60.6016,161.1
30.5496,29.8452,6.2128,28.9188,31.6692,37.8868,27.3692,117.8368,131.0568,31.5124,130.8768,125.424,29.4648,205.7768,31.2292,110.6352,59.6668,37.8868,27.2536,124.2212,141.1644,30.6592,128.6864,123.352,29.396,18.7756,176.496,110.5568,33.5124,34.1532,141.1
25.3924,28.1396,7.8916,23.4248,33.9796,42.01,25.06,119.6632,128.3464,31.6596,132.8308,120.7524,34.5376,184.8032,28.286,102.8204,112.5232,42.01,24.3524,122.7552,138.7212,32.132,125.9764,121.1688,34.4076,18.19,151.3104,102.8076,32.826,72.9424,150.0666667
0.6308,2.1096,13.12,28.696,36.2576,44.6756,2.8872,132.6732,125.7436,34.9408,132.4428,122.6352,116.5084,243.9472,13.12,105.762,91.0996,44.6756,1.5668,129.54,123.4728,35.6092,127.2932,121.3988,116.376,6.9384,235.2344,105.75,36.7972,55.7632,69.53333333
1.088,2.2964,10.6116,29.6676,35.334,40.4796,2.8232,131.4648,126.2648,34.3172,130.7952,123.6416,116.1124,229.4204,10.6116,103.7888,67.1164,40.4796,1.582,129.3032,124.6764,34.6076,126.918,123.8528,116.03,5.8248,211.5888,103.7888,35.108,39.1616,69.43333333
0.6036,2.8096,10.6688,24.9388,35.7004,43.0252,3.0092,131.3824,125.5944,33.1804,132.4832,120.7696,113.498,241.3848,10.6688,101.9296,107.3272,43.0252,1.74,128.8992,124.7964,34.1232,125.6652,121.6548,113.3396,5.6732,231.2888,101.9296,34.1072,68.266,68.7
0.876,2.5708,11.702,30.146,34.6616,40.3756,3.028,131.8824,125.848,34.034,130.7692,124.3236,115.5984,235.866,11.702,106.5008,63.8592,40.3772,1.6284,129.3752,124.128,34.0984,127.5584,123.576,115.324,6.3228,222.3844,106.4472,35.3152,36.812,69.86666667
0.818,11.3728,28.2392,25.87,36.9468,44.2352,10.1256,136.8216,119.6924,34.4184,132.5084,120.446,108.3612,248.0536,28.2392,101.6688,105.8928,44.2352,8.0404,129.0768,117.0248,35.6428,125.4864,121.676,108.3604,14.6664,241.8944,101.6688,35.148,67.3244,82.16666667
1.0772,11.0168,30.7372,30.2268,37.3768,43.2056,10.2304,137.9384,119.8468,36.0244,131.1724,122.8792,109.9724,246.5192,30.7372,103.4588,76.036,43.2148,8.1008,130.5352,114.986,36.8508,126.5784,123.1868,109.972,15.9988,238.8776,103.4588,36.7924,45.3032,83.43333333
0.6724,8.0004,23.5016,28.41,34.5092,41.4196,7.5656,135.8524,122.1048,33.5604,131.4912,123.3072,110.3688,248.338,23.5016,105.5792,79.4812,41.4196,5.9788,129.0312,119.2884,33.6364,127.3736,122.5272,110.3404,12.2488,242.5964,105.5792,34.9876,47.6184,82.16666667
1.2396,10.2388,27.1076,35.3404,36.7548,41.1164,9.5028,136.6,120.7352,36.7276,129.98,126.6128,109.6756,243.8476,27.1076,112.8512,36.3928,41.1196,7.4416,129.1408,117.504,37.1888,128.4264,124.848,109.6712,14.3504,234.466,112.8496,38.1848,19.71,84.33333333
4.7636,22.9296,46.424,33.2044,35.9084,41.9388,20.1312,140.8628,114.6016,35.7692,130.6816,125.4352,106.9796,229.1292,46.424,111.0544,52.7856,41.9388,19.4124,130.7948,110.0424,36.0664,128.3664,123.5536,106.9936,25.7232,209.532,110.9072,37.5916,29.7188,96.26666667
1.2604,22.2192,42.704,20.7724,34.7188,41.8108,18.3204,139.7504,112.9468,31.338,132.8848,118.696,104.8036,247.7568,42.704,100.3084,128.6768,41.8124,17.5348,128.716,111.7616,32.3152,124.4752,121.362,104.7784,22.022,241.36,100.3068,31.4552,87.1928,96.1
2.4548,21.6936,45.4504,31.3912,35.5616,43.4832,18.6628,141.0188,113.7916,35.2776,131.6792,124.2208,106.4292,241.6656,45.4504,109.3088,70.6604,43.484,17.7104,130.7276,109.6144,35.4936,128.3628,122.136,106.3832,24.0132,230.416,109.228,37.506,41.3288,96.56666667
2.2352,22.3316,38.498,26.7008,32.4852,37.0,18.256,137.768,113.9772,31.3264,130.4816,123.7076,103.244,240.5608,38.498,103.0592,70.8464,37.0016,17.1528,126.9012,114.6372,30.8796,126.8044,124.1296,103.232,20.348,228.8196,103.0592,31.9812,41.6428,96.8
3.9912,30.4104,41.6132,18.618,34.3252,42.3732,23.8328,136.7464,110.5812,30.6004,133.744,117.604,98.7912,231.3468,41.6132,100.3824,143.696,42.3732,25.7772,122.6868,117.5268,31.666,124.21,120.5368,98.8236,22.8104,213.288,100.3824,30.7056,101.3436,110.5
12.6388,31.7984,42.9616,27.814,35.5756,43.252,27.3472,135.768,115.2696,34.1564,132.1524,122.4752,101.1112,180.5268,42.9616,104.7168,90.648,43.254,28.3912,124.5768,118.144,34.6584,127.0252,121.8152,101.1112,27.9024,140.658,104.7088,35.6068,55.686,111.3333333
13.442,27.9116,43.4032,27.564,32.0644,41.6168,25.3188,136.7664,117.5632,31.8744,132.5124,124.056,105.416,176.0228,43.4032,110.4624,85.988,41.6168,24.9276,127.8264,115.6972,31.1532,128.8428,120.8932,105.4032,28.5108,135.688,110.36,34.6628,52.2072,109.7333333
8.906,28.8968,41.2668,23.2912,32.5472,41.1484,24.3192,136.4196,114.5868,30.72,132.9104,121.4864,101.496,200.8072,41.2668,104.5148,110.906,41.166,24.8376,124.9324,117.2412,30.638,126.7368,120.9064,101.496,25.132,166.766,104.4936,32.3072,71.7176,111.4
7.6776,0.8612,1.6176,32.5484,35.414,40.1836,2.9796,127.3964,132.2216,35.1004,130.16,125.4736,63.614,237.8004,7.7048,109.1584,48.9232,40.1836,1.5552,130.0136,128.5228,35.2704,128.02,124.4068,63.5764,4.134,225.996,109.136,36.3884,27.2028,62.36666667
3.4788,1.5876,0.738,26.9852,37.1452,40.1268,2.0028,127.4664,129.476,34.3796,130.4,121.5048,25.416,193.3708,3.4844,97.0192,83.9932,40.1428,1.1652,128.5504,128.646,35.6872,124.332,124.6824,25.416,2.0496,181.1948,97.0192,33.6192,50.814,63.16666667
2.4352,1.6424,0.7988,24.7944,36.5008,44.0748,1.732,127.596,128.7032,33.842,132.6764,119.9756,22.5684,159.38,2.4352,101.746,111.7756,44.0748,1.0388,128.1272,128.4716,35.0636,125.3644,121.4316,22.5684,1.6176,151.3384,101.7384,34.5436,72.2244,63.16666667
3.5068,2.006,0.5164,25.5668,34.7188,40.2132,2.222,127.2772,129.2848,32.53,131.3744,121.984,17.702,227.4964,3.5356,100.9072,92.5696,40.2132,1.3568,128.292,128.9604,33.0508,125.6428,123.1032,17.702,2.0116,213.9352,100.9072,32.9624,57.2348,63.6
0.6416,1.6152,8.7968,23.4192,35.4424,42.2752,2.0376,130.9024,126.604,32.5944,132.3744,119.8392,116.4984,237.0152,8.7968,100.5464,113.71,42.2752,1.076,129.5136,125.2016,33.6032,124.9944,121.8224,116.4712,4.6896,223.7224,100.5464,32.9884,73.6872,75.2
1.8008,0.5536,10.748,25.9004,34.476,44.194,2.0288,131.8836,127.772,32.9372,133.3356,121.9248,123.5428,242.3144,10.748,105.8428,105.684,44.1948,1.1272,129.6928,124.2952,33.2776,127.4176,120.334,123.526,5.8556,232.4352,105.8396,35.1164,67.076,74.2
1.5088,1.1944,9.3836,25.076,33.326,38.5448,2.1704,131.1416,127.3384,31.4728,131.128,122.3964,120.5224,229.1704,9.3836,101.99,89.1816,38.552,1.1568,129.5592,124.9012,31.4808,126.0452,123.286,120.5168,5.2296,210.4132,101.9884,31.8968,55.0296,74.2
1.0512,1.088,8.8776,29.6292,34.5076,40.3188,1.9344,130.9888,127.1168,33.722,130.8,124.0912,119.3632,232.0884,8.8776,106.3152,67.8124,40.3188,1.0108,129.7424,125.0552,33.7772,127.4344,123.4184,119.3632,4.8936,214.3068,106.3024,35.0348,39.2868,74.8
0.7116,6.8088,19.8964,20.84,32.232,40.7264,6.6412,134.5724,123.0464,29.7104,133.2304,120.1424,110.4572,246.4504,19.8964,102.5552,124.6288,40.7264,5.0636,128.5824,121.3316,29.8328,125.7948,120.6756,110.4404,10.312,238.9704,102.5552,30.9576,83.1376,86.46666667
0.9424,8.2932,25.9784,25.9908,33.374,41.568,8.136,136.7952,121.8064,32.0804,132.3796,122.6128,111.3084,246.1728,25.9784,105.7124,95.2312,41.568,6.2872,129.9104,117.5716,31.9748,127.3736,121.4388,111.2688,13.7248,238.4532,105.676,33.8548,59.2224,87.7
0.672,6.9372,22.5204,19.9912,32.6184,39.6256,6.8676,135.782,122.7728,29.632,132.5376,119.49,111.5444,247.78,22.5204,100.8956,127.184,39.6256,5.2436,129.4632,119.5868,29.9404,124.9336,121.5796,111.4996,11.6936,241.6272,100.8956,30.0168,85.7436,86.8
0.7728,8.0916,24.2616,30.2208,35.352,41.0232,7.7824,136.1504,121.9896,34.4912,130.858,124.0016,110.758,247.4096,24.2616,105.5692,67.0484,41.0232,6.0576,129.2672,118.8008,34.7524,127.4528,123.5072,110.7416,12.7448,240.7688,105.5568,35.6516,38.9624,87.36666667
0.742,16.1444,36.2676,25.3796,34.2972,41.358,13.796,138.7972,116.7992,32.3508,132.0252,121.8604,106.8236,250.0496,36.2676,103.388,98.7216,41.358,11.6452,129.5544,113.0668,32.7144,126.346,122.0048,107.07,18.4984,245.7196,103.388,33.4424,61.9044,98.33333333
1.154,18.1768,35.022,24.8748,34.866,41.8956,15.02,137.6208,116.112,32.7004,132.1936,121.1596,104.8252,247.0348,35.022,102.1764,102.99,41.8956,12.8956,128.2056,114.6928,33.2736,125.9096,121.9364,104.8252,18.1176,239.9756,102.1688,33.4864,65.2184,99.36666667
1.2244,17.792,37.3152,27.2084,37.8068,42.99,15.042,138.676,116.15,35.194,131.4308,120.9496,106.1244,247.1892,37.3152,100.0,93.6908,42.99,12.8532,129.538,112.9124,36.5664,124.9332,123.1708,106.1268,19.2528,240.1868,100.0,35.1828,58.1,98.7
0.996,16.6416,35.5784,24.4468,33.5556,41.0816,14.1304,138.2924,116.7028,31.6468,132.2584,121.7752,106.3276,248.1452,35.5784,103.3936,103.4,41.0908,11.8968,129.06,113.6884,31.8256,126.4208,121.6896,106.384,18.2864,242.1044,103.392,32.8776,65.2988,100.6
5.1852,2.6804,0.5332,27.4612,35.1576,42.5288,3.1688,126.8084,130.0036,33.7748,132.0516,122.3972,15.2308,231.4708,5.2012,104.832,89.0048,42.5288,1.8404,128.3576,129.416,34.1928,126.8848,122.0636,15.2004,2.9008,219.2096,104.8184,35.0432,55.2172,61.3
1.3008,3.262,1.2292,23.9368,34.8296,41.8304,2.3,127.5096,127.0008,32.244,132.3164,120.72,61.2316,206.2696,3.2668,101.7656,109.0592,41.8304,1.9588,126.4824,129.154,32.9724,125.5676,121.8016,61.2308,2.1676,187.378,101.7656,32.9532,69.798,61.73333333
3.8796,2.8428,0.4304,27.474,35.624,39.75,2.904,126.8928,128.9612,33.7208,130.6332,122.56,24.5864,233.0948,4.0668,99.9408,78.4436,39.7704,1.8424,127.9712,129.386,34.276,125.654,124.1428,24.51,2.2428,221.658,99.9408,33.7036,46.9444,61.06666667
2.7904,2.376,1.0944,23.6028,32.1776,36.7156,2.3808,127.4444,128.4096,30.1108,130.8096,122.2724,20.6192,162.2572,2.8984,100.452,91.6528,36.7188,1.5052,127.96,128.7528,29.8588,125.6492,123.6736,20.6192,1.9308,146.0884,100.4448,30.2856,56.5916,61.46666667
2.3016,0.826,8.4628,28.8088,35.308,43.7528,2.106,130.7596,128.1956,34.4504,132.24,123.0912,124.6516,228.7924,8.4644,106.888,86.9852,43.7528,1.216,129.3096,125.4316,34.7236,127.6164,121.5216,124.6492,4.722,211.856,106.8864,36.3672,52.7408,73.3
1.3104,0.7872,8.028,28.9612,34.6176,41.9424,1.7392,130.7052,127.5712,33.8536,131.608,123.5952,122.1552,236.5592,8.028,107.5452,78.304,41.9424,0.9424,129.2608,125.4192,33.98,127.6184,122.3076,122.1552,4.3472,223.5712,107.4948,35.5036,47.2296,74.06666667
1.7176,1.2864,6.2632,28.288,35.7144,40.648,1.9,130.0016,127.8176,34.1636,130.8592,122.8528,120.7424,217.1496,6.2632,101.7776,77.3592,40.6672,0.9928,129.2672,126.0224,34.6412,126.2144,123.6912,120.7424,3.5576,196.4712,101.7776,34.5312,46.1084,72.8
2.7376,0.7444,7.0176,26.214,35.5428,43.3168,2.0476,130.2632,128.69,33.5932,132.5016,121.5524,128.79,224.2692,7.0512,103.4744,100.274,43.3168,1.0516,129.388,125.8124,34.3172,126.3924,121.5648,128.7884,3.8896,207.1888,103.4744,34.8344,63.0552,73.4
0.5084,5.6248,17.5508,23.6728,34.622,42.3576,5.4724,133.8944,123.612,32.1836,132.6936,120.5728,111.196,247.7768,17.5508,102.4944,112.7024,42.3576,3.9192,128.7928,122.4232,32.8008,125.8348,121.2948,110.9364,8.9884,241.7116,102.4944,33.1112,73.3372,84.5
0.7832,3.494,18.8656,26.4848,33.2656,39.9488,4.4752,135.1392,124.3144,32.2176,131.3744,123.0944,115.5004,244.952,18.8656,105.0328,86.3652,39.9488,2.5732,129.9192,120.8188,31.8972,127.0928,122.5888,115.4468,9.8536,236.3688,105.0072,33.35,52.204,84.73333333
0.942,4.3764,17.1824,31.3276,35.4268,41.5404,4.7716,134.0512,124.1752,34.9292,130.8432,124.5184,113.5988,242.1304,17.1824,108.192,62.6708,41.5404,3.02,129.4224,122.1344,35.186,127.8232,123.3588,113.3008,9.1328,231.4932,108.1152,36.4472,36.022,84.03333333
0.5624,5.0128,22.1704,27.1852,35.2252,42.7796,5.6392,136.0872,123.6048,33.7116,132.0636,122.368,113.7544,248.4768,22.1704,104.5128,92.7568,42.7796,4.0708,130.0016,119.3204,34.142,126.8716,121.8764,113.7296,11.44,242.9364,104.512,35.0452,57.1976,84.63333333
0.8864,15.7112,33.7552,28.0672,35.4464,40.168,13.3292,137.8364,117.1652,33.8656,130.752,122.9744,106.3192,248.5092,33.7552,101.4032,76.9896,40.1824,11.066,128.8264,114.5956,34.2668,126.156,123.8784,106.4372,17.39,242.7924,101.4032,34.2116,45.6,98.36666667
1.0244,13.5756,38.8264,27.888,36.0608,43.856,12.6764,140.7024,117.6448,34.4976,132.2016,122.3216,110.198,248.532,38.8264,104.6432,93.1768,43.856,10.5144,132.0096,110.358,35.1864,126.8108,121.7164,110.2024,19.9424,242.7808,104.6304,35.9388,57.2016,97.03333333
1.1264,13.7168,35.3488,30.6892,36.6848,45.98,12.3548,139.0512,117.9476,35.944,132.626,123.2464,108.8872,247.356,35.3488,108.4016,84.62,45.98,10.2208,130.428,112.7904,36.5716,128.1388,120.9752,108.928,18.262,240.756,108.3436,38.4196,51.2932,96.26666667
0.8136,14.368,34.7624,26.3176,36.1748,43.3636,12.644,138.6072,117.524,33.9624,132.2456,121.3408,108.0348,249.2244,34.7624,102.5632,100.2968,43.368,10.4808,129.6352,113.5032,34.8856,126.0356,121.8728,108.0728,17.7904,244.0616,102.5616,34.9104,62.9268,97.76666667
